locus	Genus	Species
NC_019365	Streptococcus	infantis
NC_019366	Paracoccus	aestuarii
NC_019367	Paracoccus	marcusii
NC_019368	Enterobacter	cloacae
NC_019370	Streptococcus	dysgalactiae
NC_019373	Proteus	sp.
NC_019374	Proteus	sp.
NC_019375	Providencia	stuartii
NC_019376	Sphingobium	fuliginis
NC_019377	Lactococcus	lactis
NC_019378	Burkholderia	cepacia
NC_019019	Zymomonas	mobilis
NC_019284	Enterococcus	faecalis
NC_019285	Haloferax	lucentense
NC_019286	Klebsiella	oxytoca
NC_019287	Paracoccus	aestuarii
NC_019288	Paracoccus	aestuarii
NC_019289	Paracoccus	haeundaensis
NC_019290	Periwinkle	little
NC_019291	Planobispora	rosea
NC_019180	Haemophilus	influenzae
NC_019181	Haemophilus	influenzae
NC_019183	Haemophilus	influenzae
NC_019184	Haemophilus	influenzae
NC_019185	Haemophilus	influenzae
NC_019215	Xylella	fastidiosa
NC_019233	Lactobacillus	rennini
NC_019369	Burkholderia	cepacia
NC_019316	Paracoccus	aestuarii
NC_019218	uncultured	bacterium
NC_019243	Periwinkle	leaf
NC_019244	Periwinkle	leaf
NC_019245	Periwinkle	leaf
NC_019251	Shigella	flexneri
NC_019262	Aeromonas	hydrophila
NC_019361	[Haemophilus]	parasuis
NC_019328	Pseudomonas	syringae
NC_019353	Leuconostoc	mesenteroides
